127.0.0.1 - - [11/Dec/2023:19:53:20 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:27 -0300] "GET /integrador/index.jsp HTTP/1.1" 200 10185
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:27 -0300] "GET /integrador/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:27 -0300] "GET /integrador/js/menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:30 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:36 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:53:36 -0300] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:54:27 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:54:50 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:54:55 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:55:35 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:07:07 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:07:39 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:07:44 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:18:17 -0300] "GET /integrador/tickets.jsp HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:18:17 -0300] "GET /js/tickets.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:18:21 -0300] "GET /integrador/index.jsp HTTP/1.1" 200 10185
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:18:24 -0300] "GET /integrador/FindAllOradorController HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:18:29 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:23:21 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:23:25 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:24:54 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 722
